steam_link,name,link,version,notes,dependency1_name,dependency1_link,dependency2_name,dependency2_link,dependency3_name,dependency3_link
https://steamcommunity.com/sharedfiles/filedetails/?id=2255219025&searchtext=UUI,[WILL BE DEPRECATED] UnifiedUI (UUI) 2.2,https://github.com/kianzarrin/UnifiedUI/releases/download/V2.2.12/UnifiedUI-V2.2.12.zip,2.2.12,Might not function correctly detecting other mods in EPIC GAMES.,None
https://steamcommunity.com/sharedfiles/filedetails/?id=502750307&searchtext=extra+landscaping+tools,Extra Landscaping Tools,https://github.com/NyokoDev/Skylines-ExtraLandscapingTools/releases/download/v1.0/NaturalResourcesBrush.zip,Latest (Recompiled),Normal procedure. The mod was recompiled because the author was unreachable.
https://steamcommunity.com/sharedfiles/filedetails/?id=3031621087&searchtext=eyecandy+x,Eyecandy X,https://github.com/NyokoDev/ECX/releases/download/1.8/EyecandyX.zip,1.8,Normal procedure.,
https://steamcommunity.com/sharedfiles/filedetails/?id=3033809468&searchtext=flight+tracker,Flight Tracker,https://github.com/algernon-A/FlightTracker/releases/download/1.0/FlightTracker.zip,1.0 (Latest),Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2133885971&searchtext=find+it+2,Find It! 2,https://github.com/sway2020/FindIt2/releases/download/v2.9.4/FindIt.zip,2.9.4,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2781804786&searchtext=game+anarchy,Game Anarchy,https://github.com/Mbyron26/GameAnarchy/releases/download/V1.1.3/1.1.3.rar,v1.1.3,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2139035212&searchtext=garbage+bin+manager,Garbage Bin Manager,https://cdn.discordapp.com/attachments/1020292156512026695/1112391465419677836/GarbageBinManager.zip?ex=65635a48&is=6550e548&hm=7e5f1eaa0afa699defa1978a74296e3ef9478b7bdf7980f16f0cf9fecdc56ba5&,1.1.1,Normal procedure,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=445589127&searchtext=precision+engineering,Precision Engineering,https://github.com/NyokoDev/PrecisionEngineering/releases/download/v1.0.1/PrecisionEngineering.zip,1.0.1,Normal procedure. Warning: Several reports of Null References. Not working together with other actively maintained mods.,
https://steamcommunity.com/sharedfiles/filedetails/?id=2040656402&searchtext=harmony,Harmony 2.x (Mod Dependency),https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip,2.2.2,Folder name must be 'CitiesHarmony' else other mods won't be able to detect it on EPIC.,
https://steamcommunity.com/sharedfiles/filedetails/?id=2140418403&searchtext=intersection+marking+tool,Intersection Marking Tool,https://github.com/MacSergey/NodeMarkup/releases/download/v1.14.3/IMT_1_14_3.zip,1.14.3,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2858591409&searchtext=loading+screen+mod+revisited,Loading Screen Mod Revisited,https://cdn.discordapp.com/attachments/1020292156512026695/1129429815519354950/LSM-Revisited.zip?ex=6560bcfb&is=654e47fb&hm=fd702cdcb27c96a63ee68cc81641b3187323e948a3ca8810958e91768070fe79&,1.18,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2983036781&searchtext=lumina,Lumina,https://github.com/NyokoDev/Lumina/releases/download/v1.8%2C4/Lumina.zip,1.8.4,Normal procedure,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=3009333612&searchtext=lut+creator,LUT Editor,https://github.com/NyokoDev/Lumina/releases/download/v1.2/LUT.Editor.zip,1.2,LUT Creator in-game doesn't work in EPIC. Therefore the executable is bundled.,
https://steamcommunity.com/sharedfiles/filedetails/?id=1619685021&searchtext=move+it,Move It,https://github.com/Quboid/CS-MoveIt/releases/download/v2.10.7/MoveIt-2.10.7.zip,2.10.7,Normal procedure.
https://steamcommunity.com/sharedfiles/filedetails/?id=2862881785&searchtext=network+anarchy,Network Anarchy,https://github.com/Quboid/NetworkAnarchy/releases/download/v3.2.2/NetworkAnarchy-v3.2.2.zip,3.2.2,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2560782729&searchtext=network,Network Multitool,https://github.com/MacSergey/NetworkMultitool/releases/download/v1.3.5.2/NMT_1_3_5_2.zip,1.3.5.2,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2069057130&searchtext=no+big+truck,No Big Truck,https://github.com/MacSergey/NoBigTruck/releases/download/v1.3.0.6/NBT_1_3_0_6.zip,1.3.0.6,Requires AVO (Advanced Vehicle Options) to function.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip,AVO (Advanced Vehicle Options),https://discord.gg/WEyYtxb88K
https://steamcommunity.com/sharedfiles/filedetails/?id=2472062376&searchtext=node+controller+renewal,Node Controller Renewal,https://github.com/MacSergey/NodeController30/releases/download/v3.5.0.3/NCR_3_5_0_3.zip,3.5.0.3,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2041457644&searchtext=patch+loader,Patch Loader Mod,https://github.com/CitiesSkylinesMods/PatchLoader/releases/download/2.2.0/PatchLoader_2_2.zip,2.2.0,Normal procedure.,
https://steamcommunity.com/sharedfiles/filedetails/?id=1625704117&searchtext=roundabout+builder,Roundabout Builder,https://github.com/NyokoDev/NullReferenceCatcher/releases/download/v1.0/RoundaboutBuilder.zip,v1.0,Normal procedure,
https://steamcommunity.com/sharedfiles/filedetails/?id=2101551127&searchtext=repaint,Repaint,https://cdn.discordapp.com/attachments/1020292156512026695/1111217997881823271/Repaint.zip?ex=655f1568&is=654ca068&hm=1735e99ba2c5e7a5caf5f363543115e377b751dac8ab10a6ea193b6c4a901c49&,1.7.3.1,Normal procedure,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2881031511&searchtext=skyve,Skyve (Stable),https://discord.gg/t-d-w-s-village-904287711962222632,3.2.0,Obtain Skyve and Skyve (Beta) from the official T.D.W's Village Discord.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=3031623332&searchtext=theme+mixer+2.5,Theme Mixer 2.5,https://github.com/NyokoDev/ThemeMixer2.5/releases/download/v1.2/ThemeMixer2.5.zip,1.2.2,
https://steamcommunity.com/sharedfiles/filedetails/?id=1637663252&searchtext=TMPE,TMPE: Traffic Manager President Edition,https://github.com/CitiesSkylinesMods/TMPE/releases/download/11.8.0.0/TMPE_11_8_0_0_STABLE.zip,11.8.0.0,Installation guide: https://github.com/CitiesSkylinesMods/TMPE/wiki/Installation,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2804719780&searchtext=transfer+manager,Transfer Manager (CE),https://github.com/Sleepy334/TransferManagerCE/blob/main/Epic/STABLE/TransferManagerCE%202.3.32.zip,v2.3.32,Normal procedure,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2367735356&searchtext=unlimited+outside,Unlimited Outside Connections Revisited,https://cdn.discordapp.com/attachments/1020292156512026695/1055421829805789245/UnlimitedOutsideConnectionsRevisited.zip?ex=655f202d&is=654cab2d&hm=765a16bcda00a5357d7477b1c0b5a447a9817f2d4dd40ec861f5bc7d7254b7e3&,v1.1,Normal procedure,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2882769913&searchtext=vehicle+selector,Vehicle Selector,https://cdn.discordapp.com/attachments/1020292156512026695/1129047276740935770/VehicleSelector.zip,1.4.3,Normal procedure,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2966894510&searchtext=visibility+control,Visibility Control,https://cdn.discordapp.com/attachments/1020292156512026695/1111674978652397648/VisibilityControl.zip,0.9.2,Normal procedure,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2389414419&searchtext=zoning+adjuster,Zoning Adjuster,https://cdn.discordapp.com/attachments/1020292156512026695/1110537564202487859/ZoningAdjuster.zip,1.17,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2016920607&searchtext=ploppable+rico+revisited,Ploppable RICO Revisited,https://cdn.discordapp.com/attachments/1020292156512026695/1110537072646832128/RICO_revisited.zip,2.5.5,Normal procedure.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2956939040&searchtext=line+tool,Line Tool,https://cdn.discordapp.com/attachments/1020292156512026695/1160580813189021788/LineTool.zip,0.6,Normal procedure, Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2956854293&searchtext=prop+control,Prop Control,https://cdn.discordapp.com/attachments/1020292156512026695/1144506254954348574/PropControl.zip,0.9.7,Normal procedure,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2025147082&searchtext=realistic+population+,Realistic Population 2,https://cdn.discordapp.com/attachments/1020292156512026695/1110537307490095124/Realistic_Population_Revisited.zip?ex=655c9b76&is=654a2676&hm=9651bfa6fb8947dc4321d7ab8db506c5040f16f1251471bac8600a5ade2e783c&,2.2.3,Normal procedure,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2911178252&searchtext=rebalanced+industries+revisited,Rebalanced Industries Revisited,Mods\RebalancedIndustries\Rebalanced.html,0.9,Normal procedure,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles//filedetails/?id=1721492498,Optimized Outside Connections,https://cdn.discordapp.com/attachments/1163937171581976676/1173984598267527279/OptimizedOutsideConnections.zip?ex=6565f15b&is=65537c5b&hm=9465f8ae60eebaced805b1664d2dc9aefdef9c1793e9279b3d281a4a4ddd7b74&,1.17,Normal procedure,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
https://steamcommunity.com/sharedfiles/filedetails/?id=2982163898,District Styles Plus V2,https://cdn.discordapp.com/attachments/1176189872978022482/1176207017304653874/DistrictStylesPlusV2.zip?ex=656e0725&is=655b9225&hm=06ccb5ed48cc5f9dfd91ad021ad330a664d488acde140457a547c7db809ae43d&,1.0.8576,Note. District Styles are not yet available on skylinx. Please await for updates.,Harmony 2.x,https://github.com/boformer/CitiesHarmony/releases/download/v2.2.2-0/CitiesHarmony.zip
